#Wavelength [nm]	White Std.	Dark spec	0[s]	20.578[s]	40.667[s]	60.747[s]	80.814[s]	100.892[s]	120.956[s]	141.017[s]	161.122[s]	181.21[s]	201.3[s]	221.359[s]	241.466[s]	261.615[s]	281.707[s]	301.819[s]	301.831[s]
420.156	2097.42	1031.26	145.927	158.66	127.46	170.86	184.06	156.86	142.46	149.26	105.66	157.46	160.06	162.46	148.46	116.46	139.26	151.46	151.46
420.431	2166.58	1035.82	176.353	145.62	157.02	178.82	170.02	159.02	155.02	163.22	157.82	152.82	153.62	177.42	147.62	193.22	151.02	157.22	157.22
420.706	2268.67	1032.7	156.28	144.88	155.08	154.88	152.08	168.08	133.28	145.28	162.68	167.28	160.28	166.28	174.28	160.88	160.08	164.28	164.28
420.981	2380.65	1035.14	175.02	141.42	142.72	151.42	176.62	176.82	168.22	183.42	176.42	181.02	126.62	149.82	170.82	154.82	151.22	156.02	156.02
421.256	2499.86	1037.35	161.453	184.92	158.12	196.32	153.52	170.92	212.72	162.72	188.32	169.92	161.52	197.72	187.72	164.52	145.92	168.92	168.92
421.531	2620.01	1033.08	192.787	200.32	211.32	199.92	194.32	174.72	168.72	179.72	175.92	174.32	172.52	173.92	218.32	183.72	196.42	195.32	195.32
421.805	2755.52	1029.52	207.993	205.66	184.26	204.46	221.86	169.66	220.46	204.26	195.86	185.86	183.66	216.46	184.86	198.26	215.06	199.46	199.46
422.08	2816.77	1032.84	201.853	184.52	208.32	170.52	160.32	192.72	222.32	204.12	192.12	192.92	202.52	202.72	197.32	177.12	189.92	197.32	197.32
422.355	3038.76	1034.96	220.667	233.8	222.8	214.8	199.2	222.6	215.2	197.6	226	170.2	206	217.4	168.4	183.8	208.6	197.8	197.8
422.63	3131.63	1037.82	207.333	213.4	195.8	209.2	196.4	198.6	205.8	217	190.2	209.4	163.6	205.4	202.6	199	191	212.2	212.2
422.904	3226.56	1038.72	226.46	227.06	228.86	238.86	231.26	225.66	220.86	224.66	217.46	207.56	211.66	207.86	205.46	242.46	222.86	223.46	223.46
423.179	3334.87	1030.58	248.82	223.22	236.42	234.42	260.42	234.42	230.02	226.82	225.42	238.42	206.22	231.62	250.42	208.22	208.22	218.62	218.62
423.453	3481.44	1034.74	229.74	239.14	218.14	247.14	217.94	240.34	244.34	239.54	234.74	240.74	221.54	243.94	234.54	246.34	216.14	268.14	268.14
423.728	3684.03	1033.62	257.033	250.1	260.9	265.5	249.5	263.9	259.9	242.9	248.5	252.5	252.1	263.9	282.1	256.9	240.3	234.3	234.3
424.002	3801.02	1046.92	267.087	258.82	262.42	272.82	252.22	257.02	258.02	249.82	237.42	215.82	213.62	226.62	264.82	260.22	244.82	248.22	248.22
424.276	3962.07	1037.34	265.387	284.92	253.12	287.32	271.72	269.72	257.12	279.72	248.52	285.32	260.72	253.52	263.12	281.92	266.52	266.52	266.52
424.551	4161.04	1027.9	281.54	287.74	274.74	251.74	273.94	271.54	273.34	272.14	249.54	284.74	285.14	281.94	287.74	271.14	252.94	239.34	239.34
424.825	4324.26	1037.3	307.12	269.32	287.32	287.32	265.92	306.32	294.72	287.92	296.72	266.72	288.72	262.52	308.52	300.32	304.52	267.12	267.12
425.099	4500.9	1026.48	295.913	311.98	286.78	299.78	306.58	296.18	284.18	291.78	285.58	296.98	308.18	304.18	298.18	312.38	286.18	270.58	270.58
425.373	4679.09	1041.56	310.3	302.5	272.9	317.1	299.1	305.9	298.1	300.7	299.9	305.5	309.5	288.5	300.9	317.9	297.5	318.5	318.5
425.647	4928.73	1035.08	343.74	341.74	308.34	326.34	346.94	343.94	357.74	307.74	313.74	312.14	315.94	300.54	326.74	330.54	309.94	372.34	372.34
425.921	5037.36	1034.88	338.773	310.24	309.44	313.44	344.24	312.24	351.44	325.84	329.24	319.24	316.44	319.24	332.24	317.04	340.64	317.64	317.64
426.195	5113.26	1032.28	338.513	358.38	340.38	309.18	329.58	369.98	329.58	302.78	312.98	313.78	322.78	335.18	331.58	329.38	337.18	337.98	337.98
426.469	5385.73	1034.68	345.8	344.2	348.6	351.8	362.8	375	363.8	339.8	345	346.2	350.6	346	371.6	372.8	325.4	331.4	331.4
