# Object: 
# Sample: 
# Curr: 900 (Watts: 0.00212998, Luxes: 8.2241)
#Time	L	a	b	dE76	dE94	dE2000	dL	da	db
0	67.2553	13.2296	52.6392	0	0	0	0	0	0
1.254	66.7776	13.8439	52.1701	0.908576	0.624392	0.624064	-0.477692	0.614254	-0.469056
3.245	66.4702	14.2561	51.9039	1.48685	1.0278	1.02996	-0.785103	1.02649	-0.73528
5.268	66.24	14.5249	51.6095	1.9414	1.32922	1.33158	-1.01536	1.29532	-1.02967
7.261	66.06	14.7445	51.358	2.31622	1.57117	1.57699	-1.19529	1.51488	-1.28113
9.269	65.9226	14.8849	51.2835	2.52073	1.73167	1.72963	-1.33273	1.6553	-1.35568
11.276	65.7949	15.0452	51.0169	2.83917	1.91696	1.9233	-1.46043	1.81558	-1.62224
13.282	65.6974	15.1717	50.8814	3.04768	2.05079	2.06093	-1.55788	1.94211	-1.75773
15.297	65.605	15.2665	50.8175	3.19232	2.16066	2.16666	-1.6503	2.03688	-1.82168
17.298	65.5191	15.3531	50.8089	3.29748	2.2555	2.2547	-1.73624	2.12343	-1.83027
19.307	65.4497	15.4381	50.6473	3.47922	2.35808	2.36285	-1.80562	2.20845	-1.99185
21.315	65.3835	15.5229	50.5545	3.62056	2.44881	2.45631	-1.87179	2.29326	-2.08466
23.31	65.3239	15.5638	50.5281	3.69262	2.51128	2.51194	-1.93141	2.33419	-2.11108
25.318	65.2649	15.6398	50.4811	3.79844	2.5874	2.58867	-1.99047	2.41016	-2.15808
27.324	65.219	15.6784	50.4881	3.8432	2.63409	2.62987	-2.03632	2.4488	-2.15104
29.333	65.1707	15.7246	50.4231	3.93465	2.69492	2.68991	-2.08461	2.49494	-2.21611
31.341	65.1325	15.794	50.3938	4.01545	2.75045	2.74938	-2.12279	2.56436	-2.24536
33.358	65.0915	15.8088	50.363	4.06389	2.79109	2.78375	-2.16382	2.57918	-2.27615
35.344	65.0578	15.8518	50.2665	4.16346	2.84396	2.84091	-2.19747	2.62221	-2.37266
37.35	65.0264	15.8682	50.1697	4.246	2.88685	2.88406	-2.22888	2.63862	-2.46946
39.375	64.9905	15.9083	50.1923	4.27689	2.92413	2.91785	-2.2648	2.6787	-2.44684
41.367	64.9552	15.9384	50.201	4.30958	2.95979	2.94922	-2.3001	2.7088	-2.43812
43.374	64.9235	15.9937	50.1621	4.38329	3.00713	3.00031	-2.33181	2.76406	-2.47707
45.383	64.8926	16.0228	50.0802	4.46456	3.05154	3.04657	-2.36271	2.79316	-2.55893
47.389	64.867	16.0493	50.1053	4.48058	3.07634	3.06802	-2.38837	2.81971	-2.53387
49.396	64.8389	16.055	50.0753	4.51617	3.10409	3.09129	-2.41646	2.82541	-2.5639
51.403	64.8285	16.0678	50.0517	4.54311	3.11943	3.10756	-2.42687	2.83822	-2.58741
53.406	64.8055	16.1001	50.0096	4.59957	3.15323	3.14355	-2.44987	2.87049	-2.62955
55.43	64.7768	16.1274	49.9248	4.68061	3.19582	3.1885	-2.47851	2.89779	-2.7144
57.425	64.7573	16.1509	49.9558	4.68764	3.21401	3.20401	-2.49802	2.92124	-2.68333
59.449	64.7334	16.1549	49.978	4.69034	3.23086	3.2142	-2.52196	2.92528	-2.66116
61.457	64.7138	16.1836	49.9447	4.73769	3.25968	3.24497	-2.54155	2.95401	-2.69445
63.452	64.6921	16.2025	49.9994	4.73043	3.27507	3.25497	-2.56327	2.97289	-2.6398
65.457	64.6685	16.2352	49.9379	4.79806	3.31199	3.29517	-2.5868	3.00554	-2.70123
67.465	64.6541	16.2484	49.9033	4.83372	3.33217	3.316	-2.60126	3.01881	-2.73588
69.488	64.633	16.2595	49.9199	4.84262	3.3498	3.32924	-2.62233	3.02984	-2.71926
71.505	64.6185	16.2721	49.8996	4.86979	3.36784	3.34699	-2.63681	3.04247	-2.7396
73.508	64.6044	16.281	49.8155	4.93065	3.39316	3.37518	-2.65092	3.05135	-2.82368
75.518	64.5863	16.3112	49.8933	4.91525	3.40609	3.38425	-2.66905	3.08158	-2.74586
77.528	64.5769	16.3099	49.8712	4.9319	3.41605	3.39288	-2.67846	3.08023	-2.76798
79.534	64.5576	16.3183	49.9584	4.89944	3.42209	3.39044	-2.69772	3.08873	-2.68078
81.531	64.5451	16.335	49.8836	4.95806	3.44712	3.41957	-2.71024	3.10541	-2.7556
83.532	64.5243	16.355	49.8627	4.99354	3.47244	3.44435	-2.73099	3.12542	-2.77649
85.54	64.5205	16.3585	49.8088	5.02792	3.4838	3.45851	-2.73479	3.12893	-2.83033
87.551	64.4938	16.3878	49.795	5.06843	3.51571	3.48956	-2.76153	3.15814	-2.84413
89.54	64.4892	16.3693	49.8824	5.01084	3.50187	3.46622	-2.76612	3.13966	-2.75674
91.564	64.4664	16.4057	49.883	5.04598	3.531	3.4959	-2.78892	3.17611	-2.75611
93.557	64.4602	16.4152	49.8236	5.088	3.54673	3.5152	-2.7951	3.18558	-2.81555
95.568	64.4494	16.4409	49.771	5.13927	3.5703	3.54361	-2.80595	3.21126	-2.86819
97.559	64.4312	16.4532	49.8067	5.13714	3.58361	3.55237	-2.82416	3.22358	-2.83246
99.569	64.4234	16.4616	49.827	5.13551	3.58959	3.55667	-2.8319	3.232	-2.81212
101.578	64.4106	16.4716	49.7673	5.1817	3.61076	3.57985	-2.8447	3.24196	-2.87183
103.58	64.3962	16.4833	49.7684	5.19636	3.62558	3.59303	-2.8591	3.2537	-2.87073
105.588	64.391	16.4829	49.7529	5.20752	3.63163	3.5986	-2.86431	3.25324	-2.88624
107.595	64.3834	16.4816	49.7568	5.2088	3.63677	3.60136	-2.87197	3.25199	-2.88234
109.587	64.3703	16.5063	49.7535	5.23327	3.65512	3.62092	-2.88505	3.2767	-2.88563
111.594	64.3615	16.518	49.772	5.23527	3.66318	3.62769	-2.89385	3.28833	-2.86714
113.602	64.3463	16.5299	49.7465	5.26515	3.68224	3.64654	-2.909	3.30032	-2.89265
115.609	64.3394	16.5406	49.8087	5.24182	3.68274	3.64347	-2.91596	3.31097	-2.83043
117.615	64.3241	16.548	49.7081	5.30991	3.71051	3.67463	-2.93125	3.31838	-2.93109
119.606	64.3199	16.5508	49.8016	5.26294	3.70225	3.66027	-2.93545	3.32117	-2.83752
121.612	64.3108	16.5594	49.7727	5.28907	3.71591	3.67485	-2.94453	3.32979	-2.86644
123.62	64.3054	16.5631	49.8072	5.2758	3.71674	3.67296	-2.94989	3.3335	-2.83197
125.644	64.2926	16.5827	49.816	5.29061	3.73173	3.6876	-2.9627	3.35305	-2.82312
127.636	64.2755	16.6133	49.756	5.35177	3.7626	3.72304	-2.97982	3.3837	-2.88318
129.653	64.2704	16.5897	49.7411	5.34773	3.76137	3.71731	-2.98492	3.36005	-2.89802
131.652	64.2558	16.621	49.7335	5.37969	3.78354	3.7417	-2.99955	3.39135	-2.90561
133.678	64.2497	16.6227	49.7513	5.37455	3.7865	3.74239	-3.00558	3.39305	-2.88781
135.694	64.2451	16.6353	49.748	5.38691	3.7945	3.75161	-3.01025	3.40569	-2.89111
137.708	64.2259	16.6392	49.7055	5.42304	3.81654	3.77204	-3.02944	3.40958	-2.9337
139.731	64.2238	16.642	49.7089	5.42409	3.81858	3.77385	-3.0315	3.41239	-2.93024
141.724	64.213	16.6651	49.7256	5.43572	3.83205	3.78761	-3.04237	3.43544	-2.91355
143.733	64.2041	16.6729	49.7769	5.41838	3.83477	3.78645	-3.05121	3.44333	-2.86225
145.739	64.1983	16.6739	49.7574	5.43258	3.84223	3.79378	-3.05702	3.44431	-2.88172
147.73	64.189	16.6866	49.761	5.44394	3.853	3.80421	-3.06628	3.45696	-2.87817
