# Object: 
# Sample: 
# Curr: 900 (Watts: 0.00212998, Luxes: 8.2241)
#Time	L	a	b	dE76	dE94	dE2000	dL	da	db
0	73.8851	11.7757	58.9553	0	0	0	0	0	0
2.511	73.0925	13.0048	58.2311	1.63203	1.07191	1.07442	-0.792661	1.22912	-0.724218
4.518	72.776	13.4748	57.9133	2.28097	1.49665	1.49938	-1.10915	1.69904	-1.04205
6.526	72.5351	13.823	57.6765	2.76574	1.81658	1.8182	-1.35004	2.04727	-1.27883
8.532	72.3531	14.0799	57.4427	3.15345	2.06233	2.065	-1.53198	2.3042	-1.51259
10.554	72.2069	14.288	57.2607	3.46398	2.25993	2.26381	-1.67819	2.51223	-1.69456
12.545	72.0783	14.4608	57.1668	3.69775	2.42324	2.42321	-1.80686	2.68512	-1.78851
14.553	71.9717	14.5826	57.0417	3.89892	2.55675	2.5518	-1.91342	2.80689	-1.91358
16.549	71.8928	14.7088	56.9984	4.04986	2.662	2.65798	-1.9923	2.93305	-1.95689
18.555	71.8126	14.8036	56.94	4.18628	2.75967	2.75092	-2.07251	3.02789	-2.01532
20.594	71.7475	14.8875	56.8265	4.33412	2.84857	2.84071	-2.13763	3.11177	-2.12885
22.601	71.6933	14.9472	56.794	4.41968	2.91241	2.90021	-2.19185	3.17146	-2.16129
24.609	71.6343	15.0178	56.7322	4.52984	2.98669	2.97224	-2.25085	3.24205	-2.22311
26.621	71.5881	15.0798	56.6888	4.61841	3.04645	3.03132	-2.29699	3.30404	-2.26647
28.638	71.5497	15.1264	56.595	4.71718	3.10104	3.08743	-2.33538	3.35065	-2.36029
30.645	71.5103	15.1832	56.5406	4.80432	3.15537	3.14287	-2.37486	3.40745	-2.41469
32.646	71.4766	15.2268	56.6242	4.81088	3.18553	3.1662	-2.4085	3.45102	-2.33112
34.664	71.4449	15.2403	56.5493	4.87302	3.2222	3.19922	-2.44017	3.46456	-2.40596
36.674	71.4175	15.3028	56.4435	4.98375	3.27503	3.26091	-2.46757	3.52703	-2.51176
38.678	71.3911	15.3125	56.5256	4.96312	3.28895	3.26385	-2.494	3.5368	-2.42972
40.683	71.366	15.3601	56.5039	5.02021	3.32573	3.30288	-2.51911	3.58434	-2.45136
