#Wavelength [nm]	White Std.	Dark spec	0[s]	19.307[s]	39.359[s]	59.449[s]	79.534[s]	99.569[s]	119.606[s]	139.731[s]	159.762[s]	179.874[s]	199.916[s]	219.971[s]	240.047[s]	260.146[s]	280.297[s]	300.409[s]	300.426[s]
420.156	2097.42	1031.22	136.073	168.54	148.74	153.94	135.54	146.14	135.94	134.54	151.34	138.34	135.64	138.94	174.54	147.74	146.14	134.94	134.94
420.431	2166.58	1025.76	144.493	159.56	169.76	152.16	141.16	155.36	132.36	142.96	131.56	126.16	161.76	147.56	155.16	138.96	159.76	165.76	165.76
420.706	2268.67	1048.8	138.44	158.24	153.04	145.44	150.24	135.24	125.44	135.84	160.84	148.04	143.24	131.24	141.64	125.84	152.44	122.64	122.64
420.981	2380.65	1027.68	159.22	151.42	159.62	168.82	164.02	163.62	156.22	146.42	166.02	173.42	158.82	154.42	155.62	160.82	157.42	154.82	154.82
421.256	2499.86	1041.15	169.547	187.08	143.88	140.88	140.68	161.08	145.28	167.28	151.48	146.08	145.48	149.48	167.28	135.88	153.88	136.88	136.88
421.531	2620.01	1030	179.76	167.96	180.16	179.76	150.96	174.76	167.96	172.96	158.56	134.76	161.16	169.96	183.76	162.56	188.16	165.76	165.76
421.805	2755.52	1037.5	192.46	166.26	156.86	180.46	197.46	168.46	145.66	175.06	168.06	147.26	167.06	188.46	171.46	169.86	181.06	178.26	178.26
422.08	2816.77	1038.44	173.84	198.44	182.84	191.04	173.64	170.64	145.44	178.64	177.24	190.84	136.84	164.04	178.24	164.24	183.24	166.84	166.84
422.355	3038.76	1044.6	196.14	187.74	204.74	198.34	156.54	202.14	182.14	197.74	204.74	178.94	179.94	207.54	188.34	176.94	186.14	196.94	196.94
422.63	3131.63	1041.44	212.56	180.36	209.76	179.36	205.36	195.96	172.96	152.16	186.36	176.36	180.76	203.36	174.76	182.76	185.36	200.16	200.16
422.904	3226.56	1033.22	201.407	189.74	200.54	154.54	186.54	223.94	208.54	192.74	216.94	217.94	198.34	200.14	173.54	220.74	205.14	198.34	198.34
423.179	3334.87	1038.92	233.9	214.7	199.9	204.1	201.7	224.9	220.5	210.7	223.9	205.9	207.2	218.9	214.9	212.5	210.9	205.1	205.1
423.453	3481.44	1037.02	230.64	221.24	195.64	183.64	224.04	211.44	201.84	196.64	176.24	199.24	165.24	199.24	215.44	200.44	217.84	225.84	225.84
423.728	3684.03	1032.62	223.073	212.54	228.34	214.54	213.54	220.34	211.54	234.14	226.34	184.34	212.54	213.74	222.74	200.34	198.94	228.34	228.34
424.002	3801.02	1041.76	243.047	219.18	228.38	245.18	195.98	205.58	231.98	222.78	243.38	256.18	232.98	234.58	277.38	235.38	238.58	221.18	221.18
424.276	3962.07	1037.27	240.5	236.1	233.1	238.3	238.5	247.3	247.7	259.5	237.5	253.5	246.1	229.7	248.7	241.9	222.7	240.1	240.1
424.551	4161.04	1029.36	254.54	223.34	239.14	239.74	276.14	243.94	230.14	250.14	233.54	253.94	255.94	256.74	230.94	256.74	252.74	252.34	252.34
424.825	4324.26	1030.6	282.56	269.96	269.16	263.36	276.96	286.56	262.96	282.16	280.76	249.96	267.56	268.36	271.16	253.76	281.16	307.56	307.56
425.099	4500.9	1037	268.86	290.86	277.86	283.26	263.06	287.06	271.86	307.26	243.26	275.46	257.06	237.26	271.26	264.86	256.66	262.46	262.46
425.373	4679.09	1029.98	288.353	272.02	296.62	302.62	260.22	292.62	279.82	299.82	251.62	255.02	293.42	257.42	254.22	259.42	284.62	274.22	274.22
425.647	4928.73	1035.14	274.22	297.42	287.02	332.42	290.42	270.62	288.62	304.22	284.22	264.82	299.42	299.62	299.22	277.82	265.62	286.72	286.72
425.921	5037.36	1039.14	290.16	291.76	317.96	290.16	290.56	320.16	302.76	305.36	305.76	296.56	307.16	268.36	321.96	314.76	280.96	319.16	319.16
426.195	5113.26	1040.68	314.13	325.93	323.33	334.53	311.33	309.13	301.93	299.53	304.53	291.33	318.33	309.33	319.53	324.93	313.73	284.13	284.13
426.469	5385.73	1028.86	328.1	353.5	342.1	351.5	318.5	334.3	332.3	308.1	313.3	333.3	317.1	316.9	322.3	309.9	338.7	318.9	318.9
426.743	5649.55	1035.36	352.333	360.6	353.6	328.8	344.8	330.2	325.2	335.2	362.6	341	364.4	310.2	318.6	339.4	336.6	316.8	316.8
427.017	5781.29	1035.34	351.49	376.29	331.09	349.49	336.49	342.69	319.09	349.69	323.49	329.49	322.69	329.49	333.89	322.29	319.69	315.09	315.09
427.291	6014.73	1035.48	353.987	357.72	347.92	348.72	349.12	325.52	324.52	342.32	344.92	345.72	371.12	348.72	355.72	353.32	337.92	353.12	353.12
427.565	6244.66	1032.52	376.487	394.02	365.82	375.22	336.22	363.02	354.02	345.02	361.42	362.62	358.62	368.62	362.82	357.82	364.22	382.62	382.62
427.838	6431.49	1038.68	394.68	367.28	373.88	375.68	367.28	390.48	387.48	386.48	388.08	359.28	367.68	385.08	363.68	409.68	376.88	387.28	387.28
428.112	6663.32	1034.72	404.52	374.32	362.92	399.32	380.72	364.92	381.52	392.52	406.72	386.52	377.52	372.32	380.92	400.12	384.72	376.92	376.92
428.385	6841.81	1034.86	424.22	403.42	382.82	437.22	445.62	419.42	404.62	390.62	418.22	418.62	409.42	400.22	421.22	383.22	413.42	411.62	411.62
428.659	7079.69	1040.88	438.887	430.82	424.42	431.22	409.82	407.42	401.02	401.82	425.02	394.42	417.22	437.02	410.22	420.82	393.62	421.02	421.02
428.932	7310.97	1040.1	438.507	429.84	463.64	456.44	442.04	417.64	390.24	408.84	422.84	416.24	385.84	445.04	445.64	418.64	438.64	438.64	438.64
429.206	7491.87	1039.7	445.433	423.1	457.1	426.3	410.3	438.7	439.7	449.7	428.7	419.3	421.9	451.7	426.1	433.5	443.3	445.5	445.5
429.479	7851.67	1031	474.573	466.64	500.64	457.64	476.24	463.64	460.44	478.24	450.04	463.44	433.64	479.84	460.64	423.54	440.04	456.64	456.64
429.753	7903.38	1033.06	459.993	490.06	449.26	459.26	474.06	450.06	499.26	465.46	456.86	478.46	501.66	485.26	434.46	460.66	460.26	464.46	464.46
430.026	8105.87	1028.04	487.58	469.38	472.58	466.58	482.98	459.18	478.78	475.78	479.18	482.78	484.98	464.98	489.78	438.18	473.18	446.58	446.58
430.299	8422.05	1032.5	502.473	487.14	507.54	491.94	460.34	479.14	467.54	498.94	498.14	485.74	481.34	477.74	490.94	494.94	490.54	496.74	496.74
430.572	8729.51	1034.1	521.107	523.64	516.84	501.04	493.84	480.84	502.04	497.24	491.84	533.24	512.84	480.64	514.04	497.64	512.24	479.84	479.84
430.845	8948.34	1033.14	559.04	535.84	532.04	526.64	508.24	537.24	530.04	537.44	532.44	523.04	544.04	521.84	523.84	519.64	519.84	511.04	511.04
431.118	9027.42	1042.2	546.833	518.5	545.5	539.5	537.9	556.9	504.3	539.9	558.9	502.3	526.7	498.5	525.7	522.3	507.1	516.1	516.1
431.391	9179.7	1032.4	556.827	538.76	571.36	563.56	537.16	510.56	560.16	550.96	568.96	542.76	527.36	506.36	541.56	574.16	532.16	550.36	550.36
431.664	9421.46	1034.54	575.927	553.46	550.86	547.46	555.46	545.06	554.86	558.86	568.26	573.26	545.06	560.66	559.46	563.06	559.66	537.46	537.46
431.937	9687.49	1036.88	592.533	601	588.6	599.6	577.2	559.6	574	578.6	530.4	591.6	569.4	575.8	556.6	544	564	576.6	576.6
432.21	9951.87	1035.36	611.243	630.51	564.11	569.11	602.31	568.51	596.51	585.11	580.91	601.91	605.51	599.91	580.91	596.31	588.31	591.91	591.91
432.483	10196.8	1037.64	622.357	599.49	611.49	597.09	574.89	618.09	607.89	591.89	603.29	601.09	574.09	603.49	587.09	597.89	610.29	591.29	591.29
432.755	10401.5	1038.04	619.673	636.54	624.14	613.14	604.34	632.54	619.54	610.74	588.94	595.74	624.34	566.34	592.14	616.74	611.14	606.94	606.94
433.028	10577.4	1033.04	642.427	648.96	637.96	617.76	612.36	640.96	623.36	640.56	586.56	594.36	605.96	630.36	619.96	630.76	594.36	602.16	602.16
433.301	10740.1	1037.42	643.493	647.76	671.16	676.56	640.86	619.96	626.96	601.56	655.76	624.96	621.16	618.36	613.96	634.76	621.96	626.56	626.56
433.573	10872.2	1047.52	648.387	701.72	693.92	650.52	648.32	628.12	626.32	632.72	633.72	651.72	642.52	635.32	602.72	630.12	617.12	612.92	612.92
433.846	11440.7	1040.58	697.54	702.14	686.94	700.34	699.94	695.94	675.54	662.14	692.34	670.74	665.74	721.34	662.54	684.54	693.34	676.94	676.94
434.118	11313.3	1035.82	698.753	676.42	635.02	713.62	711.22	672.42	706.82	682.22	697.02	678.02	699.42	701.82	698.02	685.22	663.42	671.02	671.02
434.391	11405	1027.7	722.04	700.64	684.24	712.04	687.84	669.04	679.24	682.64	665.24	717.04	667.04	666.64	682.04	655.24	694.84	677.84	677.84
434.663	11730.8	1037.7	732.667	708	732.4	705.6	704.8	700.6	718	699.8	684.6	700.6	704.8	698.4	680	699.2	684.6	710.4	710.4
434.936	12043.1	1038.8	734.373	714.04	720.04	722.64	747.64	721.24	708.24	731.24	706.24	738.84	680.44	707.84	728.44	721.24	721.04	726.04	726.04
435.208	12122.4	1037.2	768.9	727.1	748.4	734.5	733.1	716.7	727.9	731.1	749.1	711.5	724.7	718.9	700.1	734.9	703.1	763.1	763.1
435.48	12474.5	1036.54	789.887	758.82	752.62	749.02	750.22	749.02	760.62	753.82	743.02	753.22	734.22	723.62	775.02	737.02	764.42	744.62	744.62
435.752	12544.1	1038.08	775.827	761.36	762.76	779.16	780.96	774.36	772.16	772.56	751.16	781.16	747.56	755.96	754.76	759.56	753.16	748.76	748.76
436.024	12632.3	1042.2	808.867	795.2	786.6	808.4	796.6	794	760.2	768.4	801	745.2	760	733.2	788.2	784	781.2	734.8	734.8
436.296	12978.7	1042.2	830.153	806.82	822.42	807.22	788.02	779.22	779.22	779.42	806.22	780.62	780.42	779.22	778.42	774.62	758.02	773.42	773.42
436.568	13299.7	1035.34	854.493	821.16	827.56	815.36	829.56	770.16	788.36	814.56	839.76	809.76	842.16	820.96	816.36	789.16	832.36	826.96	826.96
436.84	13344.7	1036.58	840.467	835.8	853.2	829	828.2	825.6	819.8	813	803.8	800.4	809.6	830.6	811	809.8	790	804.8	804.8
437.112	13711.1	1035.55	855.507	866.84	858.04	816.84	846.04	851.44	874.04	815.44	866.04	850.84	846.44	820.44	830.44	835.24	817.24	840.64	840.64
437.384	14138	1046.46	900.933	861.8	850.4	872.2	884.2	873.2	863.4	852.6	887.4	880	876.8	868.4	864.4	873.8	836.6	881	881
